id,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_era_1,artist_era_2,artist_origin_1,artist_origin_2,artist_origin_3,artist_origin_4,artist_type_1,artist_type_2,genre_1,genre_2,genre_3,gnid,mood_1,mood_2,tempo_1,tempo_2,tempo_3
7tQGRzvt2pQdwFVUDfNhJF,The Cobbler's Sons (Austria),Ingrid DuMosch,0.727,0.48,6,-12.431,0,0.9209999999999999,0.243,0.0,0.349,0.16399999999999998,116.557,381613,3,2000s,,North America,United States,Washington,Seattle,Female,Female,Other,Religious,Christian Inspirational,172048278-6E3E09F0CBC2DB10EBC009233A4EA5D5,Other,,Slow Tempo,Static,0
5MPmA0FaLV2wik0JO48X6z,A Kidnapped Santa Claus by L. Frank Baum,Bart Wolffe,0.6829999999999999,0.28600000000000003,1,-19.594,1,0.934,0.5760000000000001,0.0,0.126,0.508,100.08200000000001,1610000,3,,,,,,,,,Other,Spoken Word,General Spoken Word,366490893-F5814B255564074B4B95A4A0967C62CA,Other,,Slow Tempo,Slow,40s
4ylhE4mcdCwkRAscc4A7Ts,Christina's Christmas Garden (Scandinavia),Ingrid DuMosch,0.67,0.281,11,-11.902999999999999,1,0.9470000000000001,0.8079999999999999,0.0,0.155,0.355,83.411,287667,4,2000s,,North America,United States,Washington,Seattle,Female,Female,Other,Religious,Christian Inspirational,348372164-F52FC8FA1C17C36B572CD8D463B2BECA,,,,,
7vgnQ4cUNymaJR9HkQkq2b,"How Santa Claus Came to Simpson's Bar, Pt. 1",Bret Harte,0.6609999999999999,0.35200000000000004,5,-17.008,0,0.9490000000000001,0.726,0.0,0.17600000000000002,0.483,94.19,465861,3,,,,,,,,,Other,Spoken Word,General Spoken Word,396606151-4D7C0D3D3C7D8A5BA795891416240638,Other,,Slow Tempo,Very Slow,30s
4em7r0G53VcarmHkxkDL8U,"How Santa Claus Came to Simpson's Bar, Pt. 2",Bret Harte,0.705,0.35,5,-16.794,0,0.9390000000000001,0.7170000000000001,0.0,0.214,0.469,107.221,485342,5,,,,,,,,,Other,Spoken Word,General Spoken Word,396606152-3FBE1DE172F7428157CEBA7C0E044565,Other,,Slow Tempo,Static,0
5GVuL81u1ahPHlg30hf2UD,"How Santa Claus Came to Simpson's Bar, Pt. 3",Bret Harte,0.7140000000000001,0.26899999999999996,5,-18.393,0,0.9390000000000001,0.638,0.0,0.35600000000000004,0.465,111.181,464700,3,,,,,,,,,Other,Spoken Word,General Spoken Word,396606153-5AB55E80472D62EFA8101EEFAACEB741,Other,,Slow Tempo,Static,0
7wd9b3WwrTzu4e4E4FE8Ar,"How Santa Claus Came to Simpson's Bar, Pt. 4",Bret Harte,0.665,0.258,6,-18.323,0,0.9540000000000001,0.5920000000000001,0.0,0.308,0.461,80.46600000000001,511627,3,,,,,,,,,Other,Spoken Word,General Spoken Word,396606154-058EA1F08C525DD92A11DB786F02B3AC,Other,,Slow Tempo,Static,0
0kwc7WmJMslB37a5BALmPJ,"How Santa Claus Came to Simpson's Bar, Pt. 5",Bret Harte,0.634,0.254,5,-18.514,0,0.956,0.608,0.0,0.0746,0.391,85.376,568214,3,,,,,,,,,Other,Spoken Word,General Spoken Word,396606155-EEF1A1590157C1AB131C16F29DF60BB1,Other,,Slow Tempo,Static,0
3G5oebe2sWQwETWftVqKw7,The Four Seasons (Czechosolvakia),Ingrid DuMosch,0.664,0.24100000000000002,0,-12.548,1,0.9470000000000001,0.723,0.0,0.45399999999999996,0.29,92.57799999999999,490853,3,2000s,,North America,United States,Washington,Seattle,Female,Female,Other,Religious,Christian Inspirational,222277597-6D6E0AAE4211AE4E59A6C8786C72997E,Easygoing,Charming / Easygoing,Medium Tempo,Medium Fast,90s
2eaiNhnnrrKwMDjoaGuNrX,Papa Panov's Visitors,Bob August,0.6579999999999999,0.43200000000000005,9,-14.947000000000001,1,0.9570000000000001,0.20199999999999999,0.0,0.315,0.19399999999999998,90.76100000000001,489400,3,2000s,,North America,United States,Washington,Seattle,Female,Female,Other,Religious,Christian Inspirational,256010153-2F6B5ADEF4C44A17B870CACBF17B41C9,Other,,Medium Tempo,Medium,60s
53Vu1xbBX37fya6P4OBdl4,Nobody's Story,Bart Wolffe,0.622,0.23600000000000002,5,-16.426,1,0.9420000000000001,0.518,0.0,0.10400000000000001,0.503,76.563,1037340,4,,,,,,,,,Other,Spoken Word,General Spoken Word,350942527-5C9E5D5CC52077C46BB0B5A0EB02FB0F,Other,,Slow Tempo,Slow,40s
1CUu8Zp5GiX4Nnv1bSx7BI,The Raven (France),Ingrid DuMosch,0.691,0.2,1,-12.446,1,0.9440000000000001,0.789,0.0,0.307,0.23199999999999998,101.009,225027,4,2000s,,North America,United States,Washington,Seattle,Female,Female,Other,Religious,Christian Inspirational,197525738-245BED04DC7695B6CB7E7B32CB1703CD,Other,,Slow Tempo,Static,0
6NkW04BxE7kc30c1A98qUE,The Little Juggler (France),Ingrid DuMosch,0.723,0.23600000000000002,5,-13.315,1,0.9279999999999999,0.762,0.0,0.38,0.266,122.50299999999999,341200,3,2000s,,North America,United States,Washington,Seattle,Female,Female,Other,Religious,Christian Inspirational,256010163-9187F14F3D1BD723DE49D39E9F3D79D1,Other,,Slow Tempo,Static,0
0lizgQ7Qw35od7CYaoMBZb,Santa Tell Me,Ariana Grande,0.506,0.628,7,-7.316,1,0.17300000000000001,0.0545,0.0,0.301,0.556,191.708,204093,4,2010s,,North America,United States,Florida,,Female,Female,Pop,Western Pop,Urban Crossover: Pop,482963427-C1A57894AC7739E5F78512198F506AA2,Sensual,Intimate,Medium Tempo,Medium Slow,60s
3AlpkljBS1AU7HFVPms8K6,Santa's Coming For Us,Sia,0.669,0.8540000000000001,1,-4.486000000000001,1,0.0999,0.0205,0.0,0.047,0.7070000000000001,93.057,206533,4,2010s,,Australia/Oceania,Australia,South Australia,Adelaide,Female,Female,Alternative & Punk,Indie Rock,Post-Modern Electronic Pop,756920669-ED4D58C7058A37179A7A4E869DA609DD,Energizing,Edgy / Sexy,Medium Tempo,Medium Fast,90s
